"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",2525,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",2525,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","1","nubile/celibe","2020","2020",612,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",612,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","1","nubile/celibe","2020","2020",530,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",530,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",1142,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",1142,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","1","nubile/celibe","2020","2020",2126,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",2126,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","1","nubile/celibe","2020","2020",2058,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",2058,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",4184,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",4184,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","1","nubile/celibe","2020","2020",768,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","1","nubile/celibe","2020","2020",2665,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",768,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",2665,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",7593,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",2599,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","1","nubile/celibe","2020","2020",7593,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",2599,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",4369,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",4369,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",592,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",1181,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",2123,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",14777,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",1274,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",1452,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",2246,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","1","nubile/celibe","2020","2020",2123,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",14777,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",5176,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","1","nubile/celibe","2020","2020",1274,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",5176,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",589,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","1","nubile/celibe","2020","2020",684,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","1","nubile/celibe","2020","2020",2511,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","1","nubile/celibe","2020","2020",2246,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",7184,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",684,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","1","nubile/celibe","2020","2020",589,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",1325,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",2511,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","1","nubile/celibe","2020","2020",1325,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","1","nubile/celibe","2020","2020",7184,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","1","nubile/celibe","2020","2020",1452,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","1","nubile/celibe","2020","2020",592,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",1181,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","1","nubile/celibe","2020","2020",2660,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",4512,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",7854,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",2660,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","1","nubile/celibe","2020","2020",7854,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",762,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",2821,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",4512,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",2821,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",1201,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",15345,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",1351,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",1464,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","1","nubile/celibe","2020","2020",586,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","1","nubile/celibe","2020","2020",2687,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","1","nubile/celibe","2020","2020",762,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",1464,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","1","nubile/celibe","2020","2020",2347,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",7491,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",1201,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","1","nubile/celibe","2020","2020",1351,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",615,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","1","nubile/celibe","2020","2020",2165,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",5347,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",2165,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",15345,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","1","nubile/celibe","2020","2020",615,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",702,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","1","nubile/celibe","2020","2020",702,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",5347,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","1","nubile/celibe","2020","2020",7491,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",586,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",1470,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","1","nubile/celibe","2020","2020",1470,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",2687,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",2347,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2020","2020",603,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","1","nubile/celibe","2020","2020",2289,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2020","2020",2703,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","1","nubile/celibe","2020","2020",7620,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","1","nubile/celibe","2020","2020",745,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2020","2020",7620,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2020","2020",745,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","1","nubile/celibe","2020","2020",733,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","1","nubile/celibe","2020","2020",603,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2020","2020",733,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","1","nubile/celibe","2020","2020",8008,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2020","2020",2856,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",2973,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2020","2020",1527,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",15628,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",4423,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",1195,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",5559,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","1","nubile/celibe","2020","2020",592,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",4423,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",1195,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",1478,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2020","2020",592,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2020","2020",8008,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","1","nubile/celibe","2020","2020",1446,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",1478,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","1","nubile/celibe","2020","2020",2134,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",15628,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",2973,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2020","2020",2134,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",5559,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","1","nubile/celibe","2020","2020",1527,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","1","nubile/celibe","2020","2020",2856,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","1","nubile/celibe","2020","2020",2703,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2020","2020",1446,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2020","2020",2289,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","1","nubile/celibe","2020","2020",2791,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2020","2020",8155,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2020","2020",2791,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","1","nubile/celibe","2020","2020",8155,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","1","nubile/celibe","2020","2020",2759,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",2899,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","1","nubile/celibe","2020","2020",2227,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2020","2020",742,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","1","nubile/celibe","2020","2020",1419,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2020","2020",599,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",4667,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",15901,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2020","2020",1419,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2020","2020",2440,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",2899,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2020","2020",2759,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2020","2020",802,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",4667,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","1","nubile/celibe","2020","2020",2440,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",15901,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",5550,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","1","nubile/celibe","2020","2020",642,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","1","nubile/celibe","2020","2020",742,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","1","nubile/celibe","2020","2020",599,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2020","2020",642,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2020","2020",1480,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",1544,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",1241,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","1","nubile/celibe","2020","2020",7746,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",1544,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2020","2020",7746,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",1241,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","1","nubile/celibe","2020","2020",802,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","1","nubile/celibe","2020","2020",1480,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2020","2020",2227,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",5550,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","1","nubile/celibe","2020","2020",8321,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2020","2020",8321,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","1","nubile/celibe","2020","2020",7747,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2020","2020",7747,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","1","nubile/celibe","2020","2020",16068,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2020","2020",16068,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","1","nubile/celibe","2020","2020",2865,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2020","2020",2865,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","1","nubile/celibe","2020","2020",2747,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2020","2020",2747,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","1","nubile/celibe","2020","2020",5612,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2020","2020",5612,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","1","nubile/celibe","2020","2020",791,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2020","2020",791,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","1","nubile/celibe","2020","2020",714,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2020","2020",714,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","1","nubile/celibe","2020","2020",1505,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2020","2020",1505,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","1","nubile/celibe","2020","2020",1543,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2020","2020",1543,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","1","nubile/celibe","2020","2020",1411,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2020","2020",1411,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","1","nubile/celibe","2020","2020",2954,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2020","2020",2954,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","1","nubile/celibe","2020","2020",682,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2020","2020",682,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","1","nubile/celibe","2020","2020",630,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2020","2020",630,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","1","nubile/celibe","2020","2020",1312,,
"ITF64","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2020","2020",1312,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","1","nubile/celibe","2020","2020",2440,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2020","2020",2440,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","1","nubile/celibe","2020","2020",2245,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2020","2020",2245,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","1","nubile/celibe","2020","2020",4685,,
"ITF65","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2020","2020",4685,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","1","maschi","Y6","6 anni","99","totale","2020","2020",1469,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y6","6 anni","1","nubile/celibe","2020","2020",8191,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","1","maschi","Y6","6 anni","1","nubile/celibe","2020","2020",800,,
